P. Name,P. Name Kepler,P. Name KOI,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. Min Mass (EU),P. Mass (EU),P. Max Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),P. Teq Min (K),P. Teq Mean (K),P. Teq Max (K),P. Ts Min (K),P. Ts Mean (K),P. Ts Max (K),P. Surf Press (EU),P. Mag,P. Appar Size (deg),P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,P. Mean Distance (AU),P. Inclination (deg),P. Omega (deg),S. Name,S. Name HD,S. Name HIP,S. Constellation,S. Type,S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. [Fe/H],S. Age (Gyrs),S. Appar Mag,S. Distance (pc),S. RA (hrs),S. DEC (deg),S. Mag from Planet,S. Size from Planet (deg),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. SPH,P. Int ESI,P. Surf ESI,P. ESI,S. HabCat,P. Habitable,P. Hab Moon,P. Confirmed,P. Disc. Method,P. Disc. Year
KOI-1151.05,,1151.05,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,,0.57,,0.88,0.84,0.74,0.81,        32.67269,        32.67270,        32.67271,609.1,609.1,609.1,639.9,639.9,639.9,0.5,-20.70,1.67,21.72,0.1427,0.00,0.14,89.4,0.0,KOI-1151,,,Lyr,G,0.82,0.90,5516.0,0.665324,0.000,,13.4,385.08,18.8669,44.2842,-30.5,3.3429,5,0,0.622,1.476,-2.12,-0.18,-1.10,0.29,0.00,0.00,0.00,0.33,0,0,0,0,transit,2011
KOI-1159.01,,1159.01,Hot,Neptunian,gas,metals-rich,non-habitable,,31.46,,5.41,0.20,1.07,2.41,        5.106045,        5.106046,        5.106046,383.0,383.0,383.0,,,,6.2,-22.64,10.29,64.62,0.2970,0.00,0.30,88.8,0.0,KOI-1159,,,Cyg,G,0.84,0.88,5043.0,0.450399,0.000,,15.3,766.63,19.8010,47.4864,-28.5,1.5809,1,0,0.525,1.266,-1.61,3.63,0.65,0.20,,0.00,0.00,0.32,0,0,0,0,transit,2011
KOI-1160.01,,1160.01,Hot,Neptunian,gas,metals-rich,non-habitable,,3.86,,2.72,0.19,0.52,1.19,        36.97298,        36.97299,        36.97300,628.2,628.2,628.2,,,,0.7,-23.30,5.17,13.21,0.1016,0.00,0.10,88.8,0.0,KOI-1160,,,Lyr,G,0.80,0.73,5330.0,0.381656,0.000,,16.0,952.79,19.1769,47.4148,-30.7,3.8087,1,0,0.476,1.136,-2.13,2.45,-0.81,0.23,,0.00,0.00,0.25,0,0,0,0,transit,2011
KOI-1161.01,Kepler-272 c,1161.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,5.16,,1.67,1.11,1.85,1.76,        142.6942,        142.6942,        142.6942,880.5,880.5,880.5,922.0,922.0,922.0,5.7,-23.70,3.17,6.06,0.0598,0.00,0.06,90.0,0.0,KOI-1161,,,Cyg,G,0.78,0.85,5300.0,0.510280,0.000,,14.7,604.67,19.9418,47.5938,-32.1,7.5715,3,0,0.551,1.317,-2.28,-0.15,-0.58,0.30,0.00,0.00,0.00,0.28,0,0,0,1,transit,2011
KOI-1161.02,Kepler-272 d,1161.02,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,6.27,,1.76,1.15,2.03,1.89,        64.85767,        64.85767,        64.85769,723.0,723.0,723.0,765.5,765.5,765.5,7.2,-22.96,3.35,10.94,0.0887,0.00,0.09,89.4,0.0,KOI-1161,,,Cyg,G,0.78,0.85,5300.0,0.510280,0.000,,14.7,604.67,19.9418,47.5938,-31.3,5.1025,3,0,0.551,1.317,-2.21,-0.14,-0.37,0.31,0.00,0.00,0.00,0.29,0,0,0,1,transit,2011
KOI-1161.03,Kepler-272 b,1161.03,Hot,Terran,rocky-iron,metals-rich,non-habitable,,2.28,,1.33,0.97,1.29,1.31,        368.7421,        368.7422,        368.7422,1116.4,1116.4,1116.4,1153.8,1153.8,1153.8,2.2,-24.24,2.53,2.97,0.0372,0.00,0.04,88.8,0.0,KOI-1161,,,Cyg,G,0.78,0.85,5300.0,0.510280,0.000,,14.7,604.67,19.9418,47.5938,-33.2,12.1855,3,0,0.551,1.317,-2.34,-0.16,-0.97,0.28,0.00,0.00,0.00,0.29,0,0,0,1,transit,2011
KOI-1162.01,,1162.01,Hot,Neptunian,gas,metals-rich,non-habitable,,10.31,,3.73,0.20,0.74,1.66,        5.485767,        5.485768,        5.485769,389.9,389.9,389.9,,,,2.0,-21.90,7.09,158.69,0.5692,0.00,0.57,89.4,0.0,KOI-1162,,,Cyg,F,0.98,1.19,6126.0,1.777327,0.000,,12.8,473.49,19.2579,47.7594,-28.6,1.1104,1,0,0.980,2.289,-1.63,2.82,-0.10,0.23,,0.00,0.00,0.36,0,0,0,0,transit,2011
KOI-1163.01,Kepler-273 b,1163.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,3.92,,1.55,1.05,1.63,1.59,        438.7933,        438.7933,        438.7934,1166.0,1166.0,1166.0,1206.1,1206.1,1206.1,4.1,-24.77,2.95,2.94,0.0369,0.00,0.04,89.4,0.0,KOI-1163,,,Cyg,G,0.78,0.81,5627.0,0.597465,0.000,,15.0,747.29,19.4201,47.6978,-33.4,11.7912,2,0,0.585,1.385,-2.37,-0.15,-0.83,0.28,0.00,0.00,0.00,0.28,0,0,0,1,transit,2011
KOI-1163.02,Kepler-273 c,1163.02,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,4.93,,1.65,1.10,1.81,1.73,        114.9323,        114.9323,        114.9323,834.2,834.2,834.2,875.4,875.4,875.4,5.4,-23.44,3.14,8.01,0.0721,0.00,0.07,87.7,0.0,KOI-1163,,,Cyg,G,0.78,0.81,5627.0,0.597465,0.000,,15.0,747.29,19.4201,47.6978,-31.9,6.0267,2,0,0.585,1.385,-2.28,-0.15,-0.57,0.30,0.00,0.00,0.00,0.28,0,0,0,1,transit,2011
KOI-1165.01,,1165.01,Hot,Neptunian,gas,no-atmosphere,non-habitable,,3.13,,2.55,0.19,0.48,1.11,        268.6140,        268.6140,        268.6140,1031.4,1031.4,1031.4,,,,0.6,-25.32,4.85,7.05,0.0679,0.00,0.07,90.0,0.0,KOI-1165,,,Cyg,G,0.84,1.11,5775.0,1.238421,0.000,,13.9,664.32,19.4042,47.4848,-32.8,8.7518,2,0,0.835,1.968,-2.35,2.41,-1.06,0.22,,0.00,0.00,0.23,0,0,0,0,transit,2011
